,Disease,Epidemiology,Clinical findings,Transmission,Agent,Incubation period,Diagnostic tests,tokenized,pos_tagged,synsets
100,rift valley fever,rvfv primarily causes disease animals africa middle east human cases occurring animal epidemics,selflimiting disease lasts 4 7 days patients usually experience denguelike illness fever muscle pain headache joint pain,human infections occur via two main transmission routes 1 mosquito bite 2 direct indirect contact blood organs infected animals eg slaughtering butchering veterinary procedures animal births disposing carcasses fetuses,rift valley fever virus rvfv,2–6 days,serology igm elisa eia rtpcr blood early phase disease virus isolation specialized laboratories,"['rvfv', 'primarily', 'causes', 'disease', 'animals', 'africa', 'middle', 'east', 'human', 'cases', 'occurring', 'animal', 'epidemics']","[('rvfv', 'NN'), ('primarily', 'RB'), ('causes', 'VBZ'), ('disease', 'JJ'), ('animals', 'NNS'), ('africa', 'VBP'), ('middle', 'JJ'), ('east', 'JJ'), ('human', 'JJ'), ('cases', 'NNS'), ('occurring', 'VBG'), ('animal', 'JJ'), ('epidemics', 'NNS')]","[None, Synset('chiefly.r.01'), Synset('cause.v.01'), None, Synset('animal.n.01'), None, Synset('in-between.s.01'), Synset('east.a.01'), Synset('human.a.01'), Synset('case.n.01'), Synset('happen.v.01'), Synset('animal.s.01'), Synset('epidemic.n.01')]"
101,rotaviral enteritis,group rotaviruses established single important cause severe acute gastroenteritis young children developed developing nations rotavirus estimated cause 138 million diarrheal episodes per year 2 million requiring hospitalization 440000 deaths children 5 years,fever vomiting watery diarrhea signs dehydration severe cases,direct fecal–oral transmission via contaminated surfaces,rotavirus nonenveloped doublestranded rna virus within reoviridae family,1 3 days,rotavirus antigen detection eia serological techniques,"['group', 'rotaviruses', 'established', 'single', 'important', 'cause', 'severe', 'acute', 'gastroenteritis', 'young', 'children', 'developed', 'developing', 'nations', 'rotavirus', 'estimated', 'cause', '138', 'million', 'diarrheal', 'episodes', 'per', 'year', '2', 'million', 'requiring', 'hospitalization', '440000', 'deaths', 'children', '5', 'years']","[('group', 'NN'), ('rotaviruses', 'VBZ'), ('established', 'VBN'), ('single', 'JJ'), ('important', 'JJ'), ('cause', 'NN'), ('severe', 'JJ'), ('acute', 'NN'), ('gastroenteritis', 'NN'), ('young', 'JJ'), ('children', 'NNS'), ('developed', 'VBD'), ('developing', 'VBG'), ('nations', 'NNS'), ('rotavirus', 'NN'), ('estimated', 'VBN'), ('cause', 'NN'), ('138', 'CD'), ('million', 'CD'), ('diarrheal', 'NN'), ('episodes', 'NNS'), ('per', 'IN'), ('year', 'NN'), ('2', 'CD'), ('million', 'CD'), ('requiring', 'VBG'), ('hospitalization', 'NN'), ('440000', 'CD'), ('deaths', 'NNS'), ('children', 'NNS'), ('5', 'CD'), ('years', 'NNS')]","[Synset('group.n.01'), None, Synset('establish.v.01'), Synset('individual.a.01'), Synset('important.a.01'), Synset('cause.n.01'), Synset('severe.s.01'), Synset('acute_accent.n.01'), Synset('gastroenteritis.n.01'), Synset('young.a.01'), Synset('child.n.01'), Synset('develop.v.01'), Synset('develop.v.01'), Synset('state.n.04'), Synset('rotavirus.n.01'), Synset('estimate.v.01'), Synset('cause.n.01'), None, None, None, Synset('episode.n.01'), None, Synset('year.n.01'), None, None, Synset('necessitate.v.01'), Synset('hospitalization.n.01'), None, Synset('death.n.01'), Synset('child.n.01'), None, Synset('old_age.n.01')]"
102,rubella,world wide close elimination americas targeted elimination europe 2015,generally mild shortlived illness fever coryza conjunctivitis lymphadenopathy fine maculopapular rash beginning face later spreading trunks limbs,airborne droplets respiratory secretions infected persons,rubella virus,16–18 days range 12–24 days,rubella specific igm significant rise antibody titer paired samples rtpcr virus isolation throat swab specimens crs,"['world', 'wide', 'close', 'elimination', 'americas', 'targeted', 'elimination', 'europe', '2015']","[('world', 'NN'), ('wide', 'JJ'), ('close', 'JJ'), ('elimination', 'NN'), ('americas', 'NN'), ('targeted', 'VBN'), ('elimination', 'NN'), ('europe', 'NN'), ('2015', 'CD')]","[Synset('universe.n.01'), Synset('wide.a.01'), Synset('close.a.01'), Synset('elimination.n.01'), Synset('united_states.n.01'), Synset('target.v.01'), Synset('elimination.n.01'), Synset('europe.n.01'), None]"
103,severe acute respiratory syndrome,sars thought emerged guangdong province china november 2002 within 6 months cases detected 26 countries local transmission occurring 6 total 8000 cases almost 800 deaths recorded remarkably much global transmission sars traced single individual disseminated infection hotel hong kong,fever headache myalgia nonproductive cough may progress dyspnoea pulmonary infiltrations chest xray gastrointestinal symptoms may also present early sars illness,direct persontoperson transmission usually following close contact symptomatic case respiratory secretions body fluids symptomomatic case,sars coronavirus sarscov,4–5 days,detection virus respiratory specimens stool blood rtpcr virus isolation serology ifa elisa specimen processing testing strict biosafety measures bsl3,"['sars', 'thought', 'emerged', 'guangdong', 'province', 'china', 'november', '2002', 'within', '6', 'months', 'cases', 'detected', '26', 'countries', 'local', 'transmission', 'occurring', '6', 'total', '8000', 'cases', 'almost', '800', 'deaths', 'recorded', 'remarkably', 'much', 'global', 'transmission', 'sars', 'traced', 'single', 'individual', 'disseminated', 'infection', 'hotel', 'hong', 'kong']","[('sars', 'NNS'), ('thought', 'VBD'), ('emerged', 'VBN'), ('guangdong', 'JJ'), ('province', 'NN'), ('china', 'NN'), ('november', 'IN'), ('2002', 'CD'), ('within', 'IN'), ('6', 'CD'), ('months', 'NNS'), ('cases', 'NNS'), ('detected', 'VBD'), ('26', 'CD'), ('countries', 'NNS'), ('local', 'JJ'), ('transmission', 'NN'), ('occurring', 'VBG'), ('6', 'CD'), ('total', 'JJ'), ('8000', 'CD'), ('cases', 'NNS'), ('almost', 'RB'), ('800', 'CD'), ('deaths', 'NNS'), ('recorded', 'VBN'), ('remarkably', 'RB'), ('much', 'JJ'), ('global', 'JJ'), ('transmission', 'NN'), ('sars', 'NNS'), ('traced', 'VBD'), ('single', 'JJ'), ('individual', 'NN'), ('disseminated', 'VBD'), ('infection', 'JJ'), ('hotel', 'NN'), ('hong', 'NN'), ('kong', 'NN')]","[Synset('severe_acute_respiratory_syndrome.n.01'), Synset('think.v.01'), Synset('emerge.v.01'), None, Synset('state.n.01'), Synset('china.n.01'), None, None, None, None, Synset('calendar_month.n.01'), Synset('case.n.01'), Synset('detect.v.01'), None, Synset('state.n.04'), Synset('local.a.01'), Synset('transmission.n.01'), Synset('happen.v.01'), None, Synset('entire.s.01'), None, Synset('case.n.01'), Synset('about.r.07'), None, Synset('death.n.01'), Synset('record.v.01'), Synset('unusually.r.01'), Synset('much.a.01'), Synset('global.s.01'), Synset('transmission.n.01'), Synset('severe_acute_respiratory_syndrome.n.01'), Synset('trace.v.01'), Synset('individual.a.01'), Synset('person.n.01'), Synset('circulate.v.02'), None, Synset('hotel.n.01'), None, None]"
104,sindbis fever,sinv isolated africa eurasia australia highest disease burden northern europe approximately 60 64 n south africa epidemics tend occur every 7 years finland last epidemic 2002,majority infections subclinical 95 disease mild fever maculopapular rash often involving palms soles may hemorrhagic may recur polyarthritis large small joints occasionally swollen extremities anorexia lymphadenopathy,mosquito bite,sindbis virus sinv,varies days week,detection viral rna blood rtpcr,"['sinv', 'isolated', 'africa', 'eurasia', 'australia', 'highest', 'disease', 'burden', 'northern', 'europe', 'approximately', '60', '64', 'n', 'south', 'africa', 'epidemics', 'tend', 'occur', 'every', '7', 'years', 'finland', 'last', 'epidemic', '2002']","[('sinv', 'RB'), ('isolated', 'VBN'), ('africa', 'JJ'), ('eurasia', 'NN'), ('australia', 'NN'), ('highest', 'JJS'), ('disease', 'NN'), ('burden', 'NN'), ('northern', 'JJ'), ('europe', 'VBP'), ('approximately', 'RB'), ('60', 'CD'), ('64', 'CD'), ('n', 'NNS'), ('south', 'RB'), ('africa', 'VBP'), ('epidemics', 'NNS'), ('tend', 'VBP'), ('occur', 'JJ'), ('every', 'DT'), ('7', 'CD'), ('years', 'NNS'), ('finland', 'VBP'), ('last', 'JJ'), ('epidemic', 'JJ'), ('2002', 'CD')]","[None, Synset('isolate.v.01'), None, Synset('eurasia.n.01'), Synset('australia.n.01'), Synset('high.a.01'), Synset('disease.n.01'), Synset('burden.n.01'), Synset('northern.a.01'), None, Synset('approximately.r.01'), None, None, Synset('nitrogen.n.01'), Synset('south.r.01'), None, Synset('epidemic.n.01'), Synset('tend.v.01'), None, None, None, Synset('old_age.n.01'), None, Synset('last.s.01'), Synset('epidemic.a.01'), None]"
105,tacaribe complex virus disease,junin virus spread annually around harvest time rodents farmers range junin viruses extending north putting estimated 5 million people risk,gradual onset malaise headache retroorbital pain conjunctivitis fever sweats followed prostration enceplalopathy intention tremors depressed deep tendon reflexes bradycardia hypotension shock common infection pregnancy result abortion,contact excretions infected rodent ingestion contaminated food direct contact abraded broken skin rodent excrement aerosol transmission,tacaribe complex viruses spherical pleomorphic,5–21 days usually 7–14 days,virus detection blood tissue culture rtpcr serology igm elisa ifa,"['junin', 'virus', 'spread', 'annually', 'around', 'harvest', 'time', 'rodents', 'farmers', 'range', 'junin', 'viruses', 'extending', 'north', 'putting', 'estimated', '5', 'million', 'people', 'risk']","[('junin', 'NN'), ('virus', 'NN'), ('spread', 'NN'), ('annually', 'RB'), ('around', 'IN'), ('harvest', 'JJ'), ('time', 'NN'), ('rodents', 'NNS'), ('farmers', 'NNS'), ('range', 'VBP'), ('junin', 'NN'), ('viruses', 'NNS'), ('extending', 'VBG'), ('north', 'JJ'), ('putting', 'VBG'), ('estimated', 'VBN'), ('5', 'CD'), ('million', 'CD'), ('people', 'NNS'), ('risk', 'NN')]","[None, Synset('virus.n.01'), Synset('spread.n.01'), Synset('annually.r.01'), None, None, Synset('time.n.01'), Synset('rodent.n.01'), Synset('farmer.n.01'), Synset('range.v.01'), None, Synset('virus.n.01'), Synset('widen.v.04'), Synset('north.a.01'), Synset('put.v.01'), Synset('estimate.v.01'), None, None, Synset('people.n.01'), Synset('hazard.n.01')]"
106,tickborne encephalitis,disease seasonal generally coinciding tick activity peaks incidence every 5–7 years china europe russia estimated 12000 cases per year 2007 eastern regions disease coincides tick habitat cold moist forest tick ranges extend well beyond reported disease eastern western geographical extremes,fever 99 fatigue general malaise 62 headache body pain 54 diphasic infections eur neurological symptoms appear 4–10 days apparent recovery fe disease often severe signs encephalitis focal epilepsy flaccid paralysis shoulder girdle,via tick bite consumption raw milk dairy products infected animals,tickborne encephalitis tbe virus,4–28 days median 8 days,igm serology paired sera specific identification subtype virus isolation rtpcr,"['disease', 'seasonal', 'generally', 'coinciding', 'tick', 'activity', 'peaks', 'incidence', 'every', '5–7', 'years', 'china', 'europe', 'russia', 'estimated', '12000', 'cases', 'per', 'year', '2007', 'eastern', 'regions', 'disease', 'coincides', 'tick', 'habitat', 'cold', 'moist', 'forest', 'tick', 'ranges', 'extend', 'well', 'beyond', 'reported', 'disease', 'eastern', 'western', 'geographical', 'extremes']","[('disease', 'NN'), ('seasonal', 'JJ'), ('generally', 'RB'), ('coinciding', 'VBG'), ('tick', 'JJ'), ('activity', 'NN'), ('peaks', 'NNS'), ('incidence', 'NN'), ('every', 'DT'), ('5–7', 'CD'), ('years', 'NNS'), ('china', 'VBP'), ('europe', 'NN'), ('russia', 'NN'), ('estimated', 'VBD'), ('12000', 'CD'), ('cases', 'NNS'), ('per', 'IN'), ('year', 'NN'), ('2007', 'CD'), ('eastern', 'JJ'), ('regions', 'NNS'), ('disease', 'VBP'), ('coincides', 'NNS'), ('tick', 'JJ'), ('habitat', 'NN'), ('cold', 'JJ'), ('moist', 'NN'), ('forest', 'JJS'), ('tick', 'NN'), ('ranges', 'VBZ'), ('extend', 'VBP'), ('well', 'RB'), ('beyond', 'IN'), ('reported', 'VBN'), ('disease', 'JJ'), ('eastern', 'JJ'), ('western', 'JJ'), ('geographical', 'JJ'), ('extremes', 'NNS')]","[Synset('disease.n.01'), Synset('seasonal.a.01'), Synset('by_and_large.r.01'), Synset('coincide.v.01'), None, Synset('activity.n.01'), Synset('extremum.n.02'), Synset('incidence.n.01'), None, None, Synset('old_age.n.01'), None, Synset('europe.n.01'), Synset('soviet_union.n.01'), Synset('estimate.v.01'), None, Synset('case.n.01'), None, Synset('year.n.01'), None, Synset('eastern.s.01'), Synset('region.n.01'), None, None, None, Synset('habitat.n.01'), Synset('cold.a.01'), None, None, Synset('tick.n.01'), Synset('range.v.01'), Synset('widen.v.04'), Synset('well.r.01'), None, Synset('report.v.01'), None, Synset('eastern.s.01'), Synset('western.a.01'), Synset('geographic.a.01'), Synset('extreme.n.01')]"
107,variant creutzfeldt–jakob disease,strong epidemiological laboratory evidence causal relation vcjd bse agent uk primary epidemic associated dietary exposure bseinfected bovine material bse epidemic late 1980s mid1990s,prominent early psychiatric symptoms anxiety depression agitation delusions unpleasant sensory symptoms neurological features unsteadiness difficulty walking involuntary movements,thought acquired primarily ingestion infected tissue cattle bse iatrogenic transmission occurred blood transfusion,etiological agent variant creutzfeldt–jakob disease vcjd thought abnormal form naturally occurring host protein transmissible transform normal host protein pathogenic form known ‘prions’ vcjd refers specifically neurodegenerative prion disease humans associated bovine spongiform encephalopathy bse prion disease cows vcjd clinically neuropathologically distinct sporadic cjd endemic throughout world known association bse,mean incubation period likely 10 20 years,compatible clinical features characteristic mri pulvinar sign exclusion neurological diseases,"['strong', 'epidemiological', 'laboratory', 'evidence', 'causal', 'relation', 'vcjd', 'bse', 'agent', 'uk', 'primary', 'epidemic', 'associated', 'dietary', 'exposure', 'bseinfected', 'bovine', 'material', 'bse', 'epidemic', 'late', '1980s', 'mid1990s']","[('strong', 'JJ'), ('epidemiological', 'JJ'), ('laboratory', 'NN'), ('evidence', 'NN'), ('causal', 'NN'), ('relation', 'NN'), ('vcjd', 'NN'), ('bse', 'NN'), ('agent', 'NN'), ('uk', 'JJ'), ('primary', 'JJ'), ('epidemic', 'NN'), ('associated', 'VBN'), ('dietary', 'JJ'), ('exposure', 'NN'), ('bseinfected', 'VBN'), ('bovine', 'JJ'), ('material', 'NN'), ('bse', 'NN'), ('epidemic', 'JJ'), ('late', 'JJ'), ('1980s', 'CD'), ('mid1990s', 'NNS')]","[Synset('strong.a.01'), Synset('epidemiologic.a.01'), Synset('lab.n.01'), Synset('evidence.n.01'), None, Synset('relation.n.01'), None, Synset('bovine_spongiform_encephalitis.n.01'), Synset('agent.n.01'), None, Synset('primary.a.01'), Synset('epidemic.n.01'), Synset('associate.v.01'), Synset('dietary.a.01'), Synset('exposure.n.01'), None, Synset('bovine.a.01'), Synset('material.n.01'), Synset('bovine_spongiform_encephalitis.n.01'), Synset('epidemic.a.01'), Synset('late.a.01'), None, None]"
108,venezuelan equine encephalitis,veev isolated first time 1938 diseased horse venezuela veev distribution limited americas predominantly central south america,infections often mild severe neurologic disease 4–14 cases may progress death veev infection often presents like influenzalike illness,mosquito bite,venezuelan equine encephalitis virus veev,usually 2–3 days,serology rtpcr blood csf virus isolation,"['veev', 'isolated', 'first', 'time', '1938', 'diseased', 'horse', 'venezuela', 'veev', 'distribution', 'limited', 'americas', 'predominantly', 'central', 'south', 'america']","[('veev', 'RB'), ('isolated', 'VBN'), ('first', 'JJ'), ('time', 'NN'), ('1938', 'CD'), ('diseased', 'JJ'), ('horse', 'NN'), ('venezuela', 'NN'), ('veev', 'NN'), ('distribution', 'NN'), ('limited', 'VBD'), ('americas', 'RB'), ('predominantly', 'RB'), ('central', 'JJ'), ('south', 'NNS'), ('america', 'VBP')]","[None, Synset('isolate.v.01'), Synset('first.a.01'), Synset('time.n.01'), None, Synset('diseased.s.01'), Synset('horse.n.01'), Synset('venezuela.n.01'), None, Synset('distribution.n.01'), Synset('restrict.v.03'), None, Synset('predominantly.r.01'), Synset('cardinal.s.01'), Synset('south.n.01'), None]"
109,western equine encephalitis,weev first isolated equine epizootic california 1930 theweev distribution limited americas human epidemics occurring north america west mississippi river brazil usa overlaps eastern equine encephalitis virus eeev texas indiana wisconsin tennessee michigan absent central america except veracruz mexico south america weev,infections generally asymptomatic mild wee present influenzalike illness sudden onset fever severe headache chills myalgia,mosquito bite,western equine encephalitis virus weev,usually 2–7 days,serology rtpcr blood csf virus isolation,"['weev', 'first', 'isolated', 'equine', 'epizootic', 'california', '1930', 'theweev', 'distribution', 'limited', 'americas', 'human', 'epidemics', 'occurring', 'north', 'america', 'west', 'mississippi', 'river', 'brazil', 'usa', 'overlaps', 'eastern', 'equine', 'encephalitis', 'virus', 'eeev', 'texas', 'indiana', 'wisconsin', 'tennessee', 'michigan', 'absent', 'central', 'america', 'except', 'veracruz', 'mexico', 'south', 'america', 'weev']","[('weev', 'NN'), ('first', 'RB'), ('isolated', 'JJ'), ('equine', 'NN'), ('epizootic', 'JJ'), ('california', 'NN'), ('1930', 'CD'), ('theweev', 'NN'), ('distribution', 'NN'), ('limited', 'VBD'), ('americas', 'JJ'), ('human', 'JJ'), ('epidemics', 'NNS'), ('occurring', 'VBG'), ('north', 'JJ'), ('america', 'JJ'), ('west', 'JJS'), ('mississippi', 'JJ'), ('river', 'NN'), ('brazil', 'NN'), ('usa', 'JJ'), ('overlaps', 'NNS'), ('eastern', 'JJ'), ('equine', 'JJ'), ('encephalitis', 'NN'), ('virus', 'NN'), ('eeev', 'VBP'), ('texas', 'NN'), ('indiana', 'NN'), ('wisconsin', 'NN'), ('tennessee', 'NN'), ('michigan', 'JJ'), ('absent', 'JJ'), ('central', 'JJ'), ('america', 'NN'), ('except', 'IN'), ('veracruz', 'NN'), ('mexico', 'NN'), ('south', 'NN'), ('america', 'IN'), ('weev', 'NN')]","[None, Synset('first.r.01'), Synset('isolated.s.01'), Synset('equine.n.01'), Synset('epizootic.s.01'), Synset('california.n.01'), None, None, Synset('distribution.n.01'), Synset('restrict.v.03'), None, Synset('human.a.01'), Synset('epidemic.n.01'), Synset('happen.v.01'), Synset('north.a.01'), None, Synset('west.a.01'), None, Synset('river.n.01'), Synset('brazil.n.01'), None, Synset('overlap.n.01'), Synset('eastern.s.01'), Synset('equine.a.01'), Synset('encephalitis.n.01'), Synset('virus.n.01'), None, Synset('texas.n.01'), Synset('indiana.n.01'), Synset('wisconsin.n.01'), Synset('tennessee.n.01'), None, Synset('absent.a.01'), Synset('cardinal.s.01'), Synset('united_states.n.01'), None, Synset('veracruz.n.01'), Synset('mexico.n.01'), Synset('south.n.01'), None, None]"
